Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2025-08-01,15:30,POLAND 1,Wisla Plock vs Piast Gliwice,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,2x0,alias_exact,False,True,2025-08,8.03,1.0,19.950213371266006,208.30526054759585,0,8.03,1.0,8.03,,2025-08-01,EXECUTED,,19.950213371266006,500.0,519.950213371266,19.950213371266006,0.3,Fase_1_30pct
2025-08-01,20:00,CHILE 1,A. Italiano vs Palestino,Lay_CS_0x1_B365,historico,9.53,437.5,1.0,1x1,alias_exact,False,True,2025-08,9.53,1.0,17.098011119653005,285.944817243024,0,9.53,1.0,9.53,,2025-08-01,EXECUTED,,37.04822449091901,500.0,537.0482244909191,37.04822449091901,0.3,Fase_1_30pct
2025-08-03,08:00,ENGLAND 3,Stockport County vs Bolton,Lay_CS_0x1_B365,historico,9.03,312.5,1.0,2x0,alias_exact,False,True,2025-08,9.03,1.0,18.75990373221704,377.4589397987186,0,9.03,1.0,9.03,,2025-08-03,EXECUTED,,55.80812822313605,500.0,555.8081282231361,55.80812822313605,0.3,Fase_1_30pct
2025-08-03,08:30,GERMANY 3,Aue vs Hansa Rostock,Lay_CS_0x1_B365,historico,8.53,250.0,1.0,0x0,alias_exact,False,True,2025-08,8.53,1.0,20.704406370065033,486.4130047006842,0,8.53,1.0,8.53,,2025-08-03,EXECUTED,,76.51253459320108,500.0,576.5125345932012,76.51253459320108,0.3,Fase_1_30pct
2025-08-03,12:30,ROMANIA 1,FC Hermannstadt vs U. Cluj,Lay_CS_0x1_B365,historico,8.03,437.5,1.0,2x2,alias_exact,False,True,2025-08,8.03,1.0,23.003096152687476,684.1080487113727,0,8.03,1.0,8.03,,2025-08-03,EXECUTED,,99.51563074588856,500.0,599.5156307458886,99.51563074588856,0.3,Fase_1_30pct
2025-08-04,14:00,SERBIA 1,Zeleznicar Pancevo vs Napredak,Lay_CS_0x1_B365,historico,10.03,250.0,1.0,0x0,alias_exact,False,True,2025-08,10.03,1.0,18.622827732471958,742.7656528096132,0,10.03,1.0,10.03,,2025-08-04,EXECUTED,,118.13845847836052,500.0,618.1384584783606,118.13845847836052,0.3,Fase_1_30pct
2025-08-05,15:45,EUROPA CHAMPIONS LEAGUE,Rangers (Sco) vs Plzen (Cze),Lay_CS_0x1_B365,historico,11.03,312.5,1.0,3x0,alias_exact,False,True,2025-08,11.03,1.0,17.28692299134398,975.3646911905134,0,11.03,1.0,11.03,,2025-08-05,EXECUTED,,135.4253814697045,500.0,635.4253814697046,135.4253814697045,0.3,Fase_1_30pct
2025-08-05,16:15,ICELAND 1,Akranes vs Valur,Lay_CS_0x1_B365,historico,9.03,250.0,1.0,2x2,alias_exact,False,True,2025-08,9.03,1.0,22.196366065037626,1075.240547445197,0,9.03,1.0,9.03,,2025-08-05,EXECUTED,,157.62174753474213,500.0,657.6217475347422,157.62174753474213,0.3,Fase_1_30pct
2025-08-08,08:35,CHINA 1,Dalian Yingbo vs Chengdu Rongcheng,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,0x2,alias_exact,False,True,2025-08,8.03,1.0,26.23938836180586,1202.6071265807927,0,8.03,1.0,8.03,,2025-08-08,EXECUTED,,183.86113589654798,500.0,683.861135896548,183.86113589654798,0.3,Fase_1_30pct
2025-08-08,13:30,GERMANY 2,Preussen Munster vs Paderborn,Lay_CS_0x1_B365,historico,8.53,312.5,1.0,1x1,alias_exact,False,True,2025-08,8.53,1.0,25.474508448735953,1330.140372592181,0,8.53,1.0,8.53,,2025-08-08,EXECUTED,,209.33564434528392,500.0,709.335644345284,209.33564434528392,0.3,Fase_1_30pct
2025-08-10,07:00,SOUTH KOREA 1,Pohang vs Gwangju FC,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,1x0,alias_exact,False,True,2025-08,8.03,1.0,28.302794913065743,1508.1666743670296,0,8.03,1.0,8.03,,2025-08-10,EXECUTED,,237.63843925834968,500.0,737.6384392583498,237.63843925834968,0.3,Fase_1_30pct
2025-08-10,08:30,GERMANY 3,Regensburg vs Duisburg,Lay_CS_0x1_B365,historico,10.03,375.0,1.0,0x4,alias_exact,False,True,2025-08,10.03,1.0,22.91335351184575,1591.5773252175425,0,10.03,1.0,10.03,,2025-08-10,EXECUTED,,260.55179277019545,500.0,760.5517927701956,260.55179277019545,0.3,Fase_1_30pct
2025-08-10,12:00,AUSTRIA 1,Tirol vs LASK,Lay_CS_0x1_B365,historico,9.03,437.5,1.0,3x1,alias_exact,False,True,2025-08,9.03,1.0,26.567220158410944,1803.876440047995,0,9.03,1.0,9.03,,2025-08-10,EXECUTED,,287.11901292860637,500.0,787.1190129286065,287.11901292860637,0.3,Fase_1_30pct
2025-08-11,15:00,NETHERLANDS 2,Jong PSV vs FC Emmen,Lay_CS_0x1_B365,historico,11.03,375.0,1.0,3x1,alias_exact,False,True,2025-08,11.03,1.0,22.012650361562724,1914.1329991378489,0,11.03,1.0,11.03,,2025-08-11,EXECUTED,,309.1316632901691,500.0,500.0,309.1316632901691,0.3,Fase_1_30pct
2025-08-11,20:00,CHILE 1,Limache vs A. Italiano,Lay_CS_0x1_B365,historico,8.53,437.5,1.0,4x0,alias_exact,False,True,2025-08,8.53,1.0,18.62549800796813,2075.09314570643,0,8.53,1.0,8.53,,2025-08-11,EXECUTED,,327.75716129813725,500.0,518.6254980079681,327.75716129813725,0.3,Fase_1_30pct
2025-08-12,14:00,EUROPA CHAMPIONS LEAGUE,FC Copenhagen (Den) vs Malmo FF (Swe),Lay_CS_0x1_B365,historico,11.03,250.0,1.0,5x0,alias_exact,False,True,2025-08,11.03,1.0,29.00786683773381,2168.313484689481,0,11.03,1.0,11.03,,2025-08-12,EXECUTED,,356.76502813587103,500.0,547.6333648457019,356.76502813587103,0.6,Fase_2_60pct
2025-08-15,07:00,SOUTH KOREA 1,Jeju SK vs Gangwon,Lay_CS_0x1_B365,historico,10.03,250.0,1.0,0x0,alias_exact,False,True,2025-08,10.03,1.0,34.022405058520356,2413.748695553289,0,10.03,1.0,10.03,,2025-08-15,EXECUTED,,390.7874331943914,500.0,581.6557699042222,390.7874331943914,0.6,Fase_2_60pct
2025-08-15,14:00,SPAIN 1,Girona vs Rayo Vallecano,Lay_CS_0x1_B365,historico,8.53,437.5,1.0,1x3,alias_exact,False,True,2025-08,8.53,1.0,43.33451353469704,2780.120238144613,0,8.53,1.0,8.53,,2025-08-15,EXECUTED,,434.12194672908845,500.0,624.9902834389193,434.12194672908845,0.6,Fase_2_60pct
2025-08-15,14:30,FRANCE 3,Dijon vs Rouen,Lay_CS_0x1_B365,historico,8.03,375.0,1.0,1x1,alias_exact,False,True,2025-08,8.03,1.0,49.874758038297834,3006.8912667974864,0,8.03,1.0,8.03,,2025-08-15,EXECUTED,,483.9967047673863,500.0,674.8650414772171,483.9967047673863,0.6,Fase_2_60pct
